"","Player","...1","Tm.x","season17_18","Rk","Player.x","Pos","Age","Tm.y","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT.x","FTA","FT","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Pos.y","Age.y","Tm.y","G.y","GS.y","MP.y","FG.y","FGA.y","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT.y","FTA.y","FT%","ORB.y","DRB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS.y"
"165","James Harden","9","HOU",28299399,173,"James Harden\hardeja01","PG",27,"HOU",81,81,36.4,8.3,18.9,0.44,3.2,9.3,0.347,5.1,9.6,0.53,0.525,9.2,10.9,0.847,1.2,7,8.1,11.2,1.5,0.5,5.7,2.7,29.1,"PG",27,"HOU",81,81,"36.4","44628","44822",".440","44595","44629",".347","44566","44721",".530",".525","44601","44814",".847","44593","7.0","44569","44603","44682","0.5","44747","44744","44590"
"166","James Johnson","85","MIA",13954000,229,"James Johnson\johnsja01","PF",29,"MIA",76,5,27.4,4.8,10.1,0.479,1.1,3.4,0.34,3.7,6.8,0.548,0.535,2,2.8,0.707,0.9,4.1,4.9,3.6,1,1.1,2.3,2.6,12.8,"PF",29,"MIA",76,5,"44678","44777","44571",".479","44562","44654",".340","44745","44779",".548",".535","2.0","44775",".707","0.9","44565","44808","44715","1.0","44562","44622","44714","44785"
"167","James Michael McAdoo","543","PHI",50000,286,"James Michael McAdoo\mcadoja01","PF",24,"GSW",52,2,8.8,1.2,2.3,0.53,0,0.2,0.25,1.2,2.1,0.55,0.538,0.4,0.8,0.5,0.7,1.1,1.8,0.3,0.3,0.6,0.4,0.9,2.8,"PF",24,"GSW",52,2,"44781","44593","44622",".530","0.0","0.2",".250","44593","44563",".550",".538","0.4","0.8",".500","0.7","44562","44774","0.3","0.3","0.6","0.4","0.9","44775"
"168","JaMychal Green","137","MEM",8533333,167,"JaMychal Green\greenja01","PF",26,"MEM",77,75,27.3,3.2,6.5,0.5,0.7,1.9,0.379,2.5,4.6,0.549,0.555,1.7,2.2,0.802,2.2,4.9,7.1,1.1,0.6,0.4,1.2,3.2,8.9,"PF",26,"MEM",77,75,"44647","44595","44687",".500","0.7","44805",".379","44683","44716",".549",".555","44743","44594",".802","44594","44808","44568","44562","0.6","0.4","44593","44595","44812"
"169","Jared Dudley","123","PHO",1e+07,116,"Jared Dudley\dudleja01","PF",31,"PHO",64,7,21.3,2.5,5.4,0.454,1.2,3.2,0.379,1.3,2.2,0.559,0.565,0.7,1,0.662,0.5,3,3.5,1.9,0.7,0.3,1.1,2.4,6.8,"PF",31,"PHO",64,7,"44641","44683","44656",".454","44593","44595",".379","44621","44594",".559",".565","0.7","1.0",".662","0.5","3.0","44684","44805","0.7","0.3","44562","44653","44779"
"170","Jarell Eddie","526","BOS",83129,120,"Jarell Eddie\eddieja01","SF",25,"PHO",5,0,12.4,1.2,3.8,0.316,0.8,3.2,0.25,0.4,0.6,0.667,0.421,1.6,1.8,0.889,0.2,1.2,1.4,0,0.2,0,0.2,0.2,4.8,"SF",25,"PHO",5,0,"44663","44593","44776",".316","0.8","44595",".250","0.4","0.6",".667",".421","44713","44774",".889","0.2","44593","44652","0.0","0.2","0.0","0.2","0.2","44777"
"171","Jarell Eddie","573","CHI",17224,120,"Jarell Eddie\eddieja01","SF",25,"PHO",5,0,12.4,1.2,3.8,0.316,0.8,3.2,0.25,0.4,0.6,0.667,0.421,1.6,1.8,0.889,0.2,1.2,1.4,0,0.2,0,0.2,0.2,4.8,"SF",25,"PHO",5,0,"44663","44593","44776",".316","0.8","44595",".250","0.4","0.6",".667",".421","44713","44774",".889","0.2","44593","44652","0.0","0.2","0.0","0.2","0.2","44777"
"172","Jarell Eddie","527","CHI",83129,120,"Jarell Eddie\eddieja01","SF",25,"PHO",5,0,12.4,1.2,3.8,0.316,0.8,3.2,0.25,0.4,0.6,0.667,0.421,1.6,1.8,0.889,0.2,1.2,1.4,0,0.2,0,0.2,0.2,4.8,"SF",25,"PHO",5,0,"44663","44593","44776",".316","0.8","44595",".250","0.4","0.6",".667",".421","44713","44774",".889","0.2","44593","44652","0.0","0.2","0.0","0.2","0.2","44777"
"173","Jarell Martin","383","MEM",1471382,283,"Jarell Martin\martija01","PF",22,"MEM",42,3,13.3,1.4,3.6,0.384,0.2,0.6,0.36,1.2,3,0.389,0.414,1,1.2,0.8,1,2.9,3.9,0.2,0.4,0.2,0.7,2.2,3.9,"PF",22,"MEM",42,3,"44633","44652","44715",".384","0.2","0.6",".360","44593","3.0",".389",".414","1.0","44593",".800","1.0","44806","44807","0.2","0.4","0.2","0.7","44594","44807"
"174","Jarrett Jack","295","NYK",2328652,217,"Jarrett Jack\jackja01","PG",33,"NOP",2,0,16.5,1,1.5,0.667,0,0.5,0,1,1,1,0.667,1,1,1,0,0,0,2.5,1,0,1.5,2,3,"PG",33,"NOP",2,0,"44697","1.0","44682",".667","0.0","0.5",".000","1.0","1.0","1000",".667","1.0","1.0","1000","0.0","0.0","0.0","44683","1.0","0.0","44682","2.0","3.0"
"175","Jason Smith","194","WAS",5225000,409,"Jason Smith\smithja02","C",30,"WAS",74,3,14.4,2.4,4.4,0.529,0.5,1.1,0.474,1.9,3.4,0.546,0.585,0.5,0.7,0.686,0.9,2.6,3.5,0.5,0.3,0.7,0.8,2.3,5.7,"C",30,"WAS",74,3,"44665","44653","44655",".529","0.5","44562",".474","44805","44654",".546",".585","0.5","0.7",".686","0.9","44714","44684","0.5","0.3","0.7","0.8","44622","44747"
"176","Jason Terry","296","MIL",2328652,424,"Jason Terry\terryja01","SG",39,"MIL",74,0,18.4,1.4,3.3,0.432,1,2.3,0.427,0.4,1,0.444,0.582,0.3,0.4,0.828,0.2,1.2,1.4,1.3,0.6,0.3,0.5,1.3,4.1,"SG",39,"MIL",74,0,"44669","44652","44623",".432","1.0","44622",".427","0.4","1.0",".444",".582","0.3","0.4",".828","0.2","44593","44652","44621","0.6","0.3","0.5","44621","44565"
"177","JaVale McGee","321","GSW",2116955,293,"JaVale McGee\mcgeeja01","C",29,"GSW",77,10,9.6,2.7,4.1,0.652,0,0,0,2.7,4.1,0.658,0.652,0.7,1.4,0.505,1.3,1.9,3.2,0.2,0.2,0.9,0.5,1.4,6.1,"C",29,"GSW",77,10,"44721","44744","44565",".652","0.0","0.0",".000","44744","44565",".658",".652","0.7","44652",".505","44621","44805","44595","0.2","0.2","0.9","0.5","44652","44567"
"178","Jaylen Brown","207","BOS",4956480,61,"Jaylen Brown\brownja02","SF",20,"BOS",78,20,17.2,2.5,5.4,0.454,0.6,1.7,0.341,1.9,3.7,0.507,0.508,1.1,1.6,0.685,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6,"SF",20,"BOS",78,20,"44609","44683","44656",".454","0.6","44743",".341","44805","44745",".507",".508","44562","44713",".685","0.6","44594","44775","0.8","0.4","0.2","0.9","44774","44718"
"179","Jeff Green","322","CLE",2116955,168,"Jeff Green\greenje02","PF",30,"ORL",69,11,22.2,3.2,8.1,0.394,0.8,2.8,0.275,2.4,5.3,0.458,0.442,2.1,2.4,0.863,0.6,2.5,3.1,1.2,0.5,0.2,1.1,1.5,9.2,"PF",30,"ORL",69,11,"44614","44595","44569",".394","0.8","44775",".275","44653","44625",".458",".442","44563","44653",".863","0.6","44683","44564","44593","0.5","0.2","44562","44682","44601"
"180","Jeff Teague","46","MIN",1.9e+07,421,"Jeff Teague\teaguje01","PG",28,"IND",82,82,32.4,4.9,11.1,0.442,1.1,3.1,0.357,3.8,8,0.475,0.492,4.4,5.1,0.867,0.4,3.6,4,7.8,1.2,0.4,2.6,2,15.3,"PG",28,"IND",82,82,"32.4","44808","44572",".442","44562","44564",".357","44776","8.0",".475",".492","44655","44566",".867","0.4","44715","4.0","44780","44593","0.4","44714","2.0","44635"
"181","Jeff Withey","359","DAL",1577320,473,"Jeff Withey\witheje01","C",26,"UTA",51,1,8.5,1.1,2,0.534,0,0,0,1.1,2,0.539,0.534,0.7,0.9,0.75,1,1.4,2.4,0.1,0.3,0.6,0.3,1,2.9,"C",26,"UTA",51,1,"44689","44562","2.0",".534","0.0","0.0",".000","44562","2.0",".539",".534","0.7","0.9",".750","1.0","44652","44653","0.1","0.3","0.6","0.3","1.0","44806"
"182","Jerami Grant","366","OKC",1524305,162,"Jerami Grant\grantje01","PF",22,"TOT",80,4,19.1,1.9,4.1,0.463,0.5,1.5,0.371,1.4,2.7,0.514,0.529,1.1,1.8,0.612,0.5,2.1,2.6,0.6,0.4,1,0.6,1.9,5.5,"PF",22,"TOT",80,4,"44580","44805","44565",".463","0.5","44682",".371","44652","44744",".514",".529","44562","44774",".612","0.5","44563","44714","0.6","0.4","1.0","0.6","44805","44686"
"183","Jeremy Lamb","160","CHO",7e+06,252,"Jeremy Lamb\lambje01","SG",24,"CHO",62,5,18.4,3.6,7.9,0.46,0.7,2.4,0.281,3,5.6,0.536,0.502,1.8,2.1,0.853,0.5,3.8,4.3,1.2,0.4,0.4,0.6,1.6,9.7,"SG",24,"CHO",62,5,"44669","44715","44811",".460","0.7","44653",".281","3.0","44717",".536",".502","44774","44563",".853","0.5","44776","44624","44593","0.4","0.4","0.6","44713","44751"
"184","Jeremy Lin","102","BRK",1.2e+07,267,"Jeremy Lin\linje01","PG",28,"BRK",36,33,24.5,4.9,11.1,0.438,1.6,4.3,0.372,3.3,6.8,0.48,0.51,3.2,3.9,0.816,0.3,3.4,3.8,5.1,1.2,0.4,2.4,2.2,14.5,"PG",28,"BRK",36,33,"44705","44808","44572",".438","44713","44624",".372","44623","44779",".480",".510","44595","44807",".816","0.3","44654","44776","44566","44593","0.4","44653","44594","44695"
"185","Jerian Grant","346","CHI",1713840,163,"Jerian Grant\grantje02","PG",24,"CHI",63,28,16.3,2,4.8,0.425,0.8,2.1,0.366,1.3,2.7,0.473,0.507,1,1.2,0.89,0.3,1.5,1.8,1.9,0.7,0.1,0.7,1.5,5.9,"PG",24,"CHI",63,28,"44636","2.0","44777",".425","0.8","44563",".366","44621","44744",".473",".507","1.0","44593",".890","0.3","44682","44774","44805","0.7","0.1","0.7","44682","44809"
"186","Jerryd Bayless","135","PHI",9e+06,33,"Jerryd Bayless\bayleje01","PG",28,"PHI",3,1,23.7,3.7,10.7,0.344,0.7,1.7,0.4,3,9,0.333,0.375,3,3.3,0.9,1,3,4,4.3,0,0,3,1.3,11,"PG",28,"PHI",3,1,"44765","44745","44752",".344","0.7","44743",".400","3.0","9.0",".333",".375","3.0","44623",".900","1.0","3.0","4.0","44624","0.0","0.0","3.0","44621","11.0"
"187","Jimmy Butler","45","MIN",19301070,66,"Jimmy Butler\butleji01","SF",27,"CHI",76,75,37,7.5,16.5,0.455,1.2,3.3,0.367,6.3,13.2,0.477,0.492,7.7,8.9,0.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9,"SF",27,"CHI",76,75,"37.0","44688","44697",".455","44593","44623",".367","44626","44605",".477",".492","44749","44812",".865","44743","44685","44598","44686","44805","0.4","44563","44682","44827"
"188","Joakim Noah","54","NYK",17765000,328,"Joakim Noah\noahjo01","C",31,"NYK",46,46,22.1,2.2,4.4,0.49,0,0,0,2.2,4.4,0.493,0.49,0.7,1.7,0.436,3.5,5.2,8.8,2.2,0.7,0.8,1.3,2.8,5,"C",31,"NYK",46,46,"44583","44594","44655",".490","0.0","0.0",".000","44594","44655",".493",".490","0.7","44743",".436","44684","44597","44781","44594","0.7","0.8","44621","44775","5.0"
"189","Jodie Meeks","246","WAS",3290000,298,"Jodie Meeks\meeksjo01","SG",29,"ORL",36,10,20.5,2.9,7.1,0.402,1.6,3.8,0.409,1.3,3.3,0.395,0.512,1.8,2.1,0.878,0.1,2,2.1,1.3,0.9,0.1,1,1.1,9.1,"SG",29,"ORL",36,10,"44701","44806","44568",".402","44713","44776",".409","44621","44623",".395",".512","44774","44563",".878","0.1","2.0","44563","44621","0.9","0.1","1.0","44562","44570"
"190","Joe Harris","371","BRK",1524305,179,"Joe Harris\harrijo01","SG",25,"BRK",52,11,21.9,3,7,0.425,1.6,4.3,0.385,1.3,2.7,0.489,0.543,0.7,0.9,0.714,0.3,2.5,2.8,1,0.6,0.2,1.1,2.3,8.2,"SG",25,"BRK",52,11,"44825","3.0","7.0",".425","44713","44624",".385","44621","44744",".489",".543","0.7","0.9",".714","0.3","44683","44775","1.0","0.6","0.2","44562","44622","44600"
"191","Joe Ingles","80","UTA",14136364,214,"Joe Ingles\inglejo01","SF",29,"UTA",82,26,24,2.5,5.5,0.452,1.5,3.4,0.441,1,2.1,0.471,0.589,0.6,0.8,0.735,0.3,2.9,3.2,2.7,1.2,0.1,1.3,2,7.1,"SF",29,"UTA",82,26,"24.0","44683","44686",".452","44682","44654",".441","1.0","44563",".471",".589","0.6","0.8",".735","0.3","44806","44595","44744","44593","0.1","44621","2.0","44568"
"192","Joe Johnson","130","SAC",9505000,230,"Joe Johnson\johnsjo02","SF",35,"UTA",78,14,23.6,3.5,8,0.436,1.4,3.3,0.411,2.1,4.7,0.454,0.521,0.8,1,0.818,0.4,2.7,3.1,1.8,0.5,0.2,0.9,1.2,9.2,"SF",35,"UTA",78,14,"44735","44684","8.0",".436","44652","44623",".411","44563","44746",".454",".521","0.8","1.0",".818","0.4","44744","44564","44774","0.5","0.2","0.9","44593","44601"
"193","Joe Johnson","482","HOU",749905,230,"Joe Johnson\johnsjo02","SF",35,"UTA",78,14,23.6,3.5,8,0.436,1.4,3.3,0.411,2.1,4.7,0.454,0.521,0.8,1,0.818,0.4,2.7,3.1,1.8,0.5,0.2,0.9,1.2,9.2,"SF",35,"UTA",78,14,"44735","44684","8.0",".436","44652","44623",".411","44563","44746",".454",".521","0.8","1.0",".818","0.4","44744","44564","44774","0.5","0.2","0.9","44593","44601"
"194","Joe Young","394","IND",1471382,479,"Joe Young\youngjo01","PG",24,"IND",33,0,4.1,0.8,2.2,0.361,0.2,0.7,0.217,0.6,1.5,0.429,0.396,0.3,0.5,0.733,0,0.5,0.5,0.5,0.1,0,0.2,0.2,2.1,"PG",24,"IND",33,0,"44565","0.8","44594",".361","0.2","0.7",".217","0.6","44682",".429",".396","0.3","0.5",".733","0.0","0.5","0.5","0.5","0.1","0.0","0.2","0.2","44563"
"195","Joel Bolomboy","572","MIL",22248,52,"Joel Bolomboy\bolomjo01","PF",23,"UTA",12,0,4.4,0.8,1.3,0.563,0.1,0.3,0.25,0.7,1,0.667,0.594,0.3,0.5,0.5,0.3,1.1,1.4,0.2,0.1,0.2,0.2,0.1,1.8,"PF",23,"UTA",12,0,"44655","0.8","44621",".563","0.1","0.3",".250","0.7","1.0",".667",".594","0.3","0.5",".500","0.3","44562","44652","0.2","0.1","0.2","0.2","0.1","44774"
"196","Joel Bolomboy","417","UTA",1312611,52,"Joel Bolomboy\bolomjo01","PF",23,"UTA",12,0,4.4,0.8,1.3,0.563,0.1,0.3,0.25,0.7,1,0.667,0.594,0.3,0.5,0.5,0.3,1.1,1.4,0.2,0.1,0.2,0.2,0.1,1.8,"PF",23,"UTA",12,0,"44655","0.8","44621",".563","0.1","0.3",".250","0.7","1.0",".667",".594","0.3","0.5",".500","0.3","44562","44652","0.2","0.1","0.2","0.2","0.1","44774"
"197","Joel Embiid","174","PHI",6100266,124,"Joel Embiid\embiijo01","C",22,"PHI",31,31,25.4,6.5,13.8,0.466,1.2,3.2,0.367,5.3,10.7,0.495,0.508,6.2,7.9,0.783,2,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2,"C",22,"PHI",31,31,"44676","44687","44786",".466","44593","44595",".367","44625","44752",".495",".508","44598","44811",".783","2.0","44809","44780","44563","0.9","44683","44776","44715","44612"
"198","Joffrey Lauvergne","365","SAS",1524305,254,"Joffrey Lauvergne\lauvejo01","PF-C",25,"TOT",70,1,14,2.1,4.8,0.44,0.5,1.4,0.337,1.6,3.4,0.483,0.49,0.7,1,0.63,1,2.6,3.6,1,0.4,0.1,0.8,1.2,5.4,"PF-C",25,"TOT",70,1,"14.0","44563","44777",".440","0.5","44652",".337","44713","44654",".483",".490","0.7","1.0",".630","1.0","44714","44715","1.0","0.4","0.1","0.8","44593","44656"
"199","John Henson","109","MIL",11422536,188,"John Henson\hensojo01","C",26,"MIL",58,39,19.4,2.7,5.3,0.515,0,0,0,2.7,5.3,0.516,0.515,1.3,1.8,0.692,1.6,3.5,5.1,1,0.5,1.3,0.9,2.6,6.8,"C",26,"MIL",58,39,"44670","44744","44625",".515","0.0","0.0",".000","44744","44625",".516",".515","44621","44774",".692","44713","44684","44566","1.0","0.5","44621","0.9","44714","44779"
"200","John Wall","49","WAS",18063850,453,"John Wall\walljo01","PG",26,"WAS",78,78,36.4,8.3,18.4,0.451,1.1,3.5,0.327,7.2,14.9,0.48,0.482,5.4,6.8,0.801,0.8,3.4,4.2,10.7,2,0.6,4.1,1.9,23.1,"PG",26,"WAS",78,78,"36.4","44628","44669",".451","44562","44684",".327","44599","44818",".480",".482","44656","44779",".801","0.8","44654","44596","44752","2.0","0.6","44565","44805","44584"
"201","Johnny O'Bryant","367","NYK",1524305,335,"Johnny Bryant\obryajo01","PF",23,"TOT",11,0,7.3,1.4,2.7,0.5,0.3,0.5,0.5,1.1,2.2,0.5,0.55,0.5,0.5,0.833,0.8,0.9,1.7,0.5,0,0.1,0.5,0.9,3.5,"PF",23,"TOT",11,0,"44627","44652","44744",".500","0.3","0.5",".500","44562","44594",".500",".550","0.5","0.5",".833","0.8","0.9","44743","0.5","0.0","0.1","0.5","0.9","44684"
"202","Jon Leuer","120","DET",10497319,263,"Jon Leuer\leuerjo01","PF",27,"DET",75,34,25.9,4.1,8.6,0.48,0.7,2.2,0.293,3.5,6.4,0.545,0.518,1.3,1.5,0.867,1.4,4,5.4,1.5,0.4,0.3,0.9,1.9,10.2,"PF",27,"DET",75,34,"44829","44565","44720",".480","0.7","44594",".293","44684","44657",".545",".518","44621","44682",".867","44652","4.0","44656","44682","0.4","0.3","0.9","44805","44602"
"203","Jonas Jerebko","227","UTA",4e+06,226,"Jonas Jerebko\jerebjo01","PF",29,"BOS",78,6,15.8,1.5,3.4,0.435,0.6,1.7,0.346,0.9,1.7,0.523,0.521,0.3,0.5,0.703,0.8,2.7,3.5,0.9,0.3,0.2,0.5,1.6,3.8,"PF",29,"BOS",78,6,"44788","44682","44654",".435","0.6","44743",".346","0.9","44743",".523",".521","0.3","0.5",".703","0.8","44744","44684","0.9","0.3","0.2","0.5","44713","44776"
"204","Jonathon Simmons","168","ORL",6300000,404,"Jonathon Simmons\simmojo02","SG",27,"SAS",78,8,17.8,2.3,5.4,0.42,0.4,1.3,0.294,1.9,4.1,0.461,0.456,1.3,1.7,0.75,0.3,1.8,2.1,1.6,0.6,0.3,1,1.9,6.2,"SG",27,"SAS",78,8,"44790","44622","44656",".420","0.4","44621",".294","44805","44565",".461",".456","44621","44743",".750","0.3","44774","44563","44713","0.6","0.3","1.0","44805","44598"
"205","Jordan Clarkson","108","CLE",11562500,83,"Jordan Clarkson\clarkjo01","SG",24,"LAL",82,19,29.2,5.8,13.1,0.445,1.4,4.3,0.329,4.4,8.7,0.503,0.5,1.6,2,0.798,0.6,2.4,3,2.6,1.1,0.1,2,1.8,14.7,"SG",24,"LAL",82,19,"29.2","44778","44574",".445","44652","44624",".329","44655","44750",".503",".500","44713","2.0",".798","0.6","44653","3.0","44714","44562","0.1","2.0","44774","44756"
"206","Jordan Crawford","499","NOP",250000,94,"Jordan Crawford\crawfjo02","SG",28,"NOP",19,0,23.3,5.5,11.5,0.482,1.9,5,0.389,3.6,6.5,0.553,0.567,1.1,1.4,0.769,0.2,1.6,1.8,3,0.6,0.1,1.3,1.6,14.1,"SG",28,"NOP",19,0,"44643","44686","44692",".482","44805","5.0",".389","44715","44687",".553",".567","44562","44652",".769","0.2","44713","44774","3.0","0.6","0.1","44621","44713","44575"
"207","Jordan Farmar","487","LAC",510921,130,"Jordan Farmar\farmajo01","PG",30,"SAC",2,0,17.5,2,6,0.333,2,4.5,0.444,0,1.5,0,0.5,0,0,NA,0.5,1,1.5,4.5,1,0,1.5,0.5,6,"PG",30,"SAC",2,0,"44698","2.0","6.0",".333","2.0","44685",".444","0.0","44682",".000",".500","0.0","0.0",NA,"0.5","1.0","44682","44685","1.0","0.0","44682","0.5","6.0"
"208","Jordan Mickey","392","MIA",1471382,300,"Jordan Mickey\mickejo01","PF",22,"BOS",25,1,5.6,0.6,1.4,0.441,0,0,0,0.6,1.3,0.455,0.441,0.3,0.6,0.571,0.5,0.8,1.4,0.3,0.1,0.2,0.4,0.5,1.5,"PF",22,"BOS",25,1,"44717","0.6","44652",".441","0.0","0.0",".000","0.6","44621",".455",".441","0.3","0.6",".571","0.5","0.8","44652","0.3","0.1","0.2","0.4","0.5","44682"
"209","Josh Huestis","391","OKC",1471382,208,"Josh Huestis\huestjo01","PF",25,"OKC",2,0,15.5,3,5.5,0.545,1,2,0.5,2,3.5,0.571,0.636,0,0.5,0,2,2.5,4.5,1.5,0,1.5,0,0,7,"PF",25,"OKC",2,0,"44696","3.0","44686",".545","1.0","2.0",".500","2.0","44684",".571",".636","0.0","0.5",".000","2.0","44683","44685","44682","0.0","44682","0.0","0.0","7.0"
"210","Josh McRoberts","176","DAL",6021175,297,"Josh McRoberts\mcrobjo01","PF",29,"MIA",22,14,17.3,2,5.4,0.373,0.6,1.4,0.419,1.4,4,0.356,0.428,0.3,0.4,0.667,1,2.3,3.4,2.3,0.5,0.2,1,1.4,4.9,"PF",29,"MIA",22,14,"44637","2.0","44656",".373","0.6","44652",".419","44652","4.0",".356",".428","0.3","0.4",".667","1.0","44622","44654","44622","0.5","0.2","1.0","44652","44808"
"211","Josh Richardson","380","MIA",1471382,375,"Josh Richardson\richajo01","SG",23,"MIA",53,34,30.5,3.8,9.7,0.394,1.4,4.3,0.33,2.4,5.4,0.444,0.467,1.1,1.5,0.779,0.7,2.5,3.2,2.6,1.1,0.7,1.2,2.5,10.2,"SG",23,"MIA",53,34,"44711","44776","44751",".394","44652","44624",".330","44653","44656",".444",".467","44562","44682",".779","0.7","44683","44595","44714","44562","0.7","44593","44683","44602"
"212","Jrue Holiday","14","NOP",25686667,199,"Jrue Holiday\holidjr01","PG",26,"NOP",67,61,32.7,6,13.3,0.454,1.5,4.2,0.356,4.6,9.1,0.498,0.51,1.8,2.5,0.708,0.7,3.3,3.9,7.3,1.5,0.7,2.9,2,15.4,"PG",26,"NOP",67,61,"32.7","6.0","44633",".454","44682","44596",".356","44716","44570",".498",".510","44774","44683",".708","0.7","44623","44807","44627","44682","0.7","44806","2.0","44666"
"213","Julius Randle","223","LAL",4149242,371,"Julius Randle\randlju01","PF",22,"LAL",74,73,28.8,5.1,10.4,0.488,0.2,0.9,0.27,4.9,9.6,0.507,0.499,2.8,3.8,0.723,2,6.6,8.6,3.6,0.7,0.5,2.3,3.4,13.2,"PF",22,"LAL",74,73,"44801","44566","44661",".488","0.2","0.9",".270","44808","44721",".507",".499","44775","44776",".723","2.0","44718","44720","44715","0.7","0.5","44622","44654","44605"
"214","Justin Anderson","357","PHI",1579440,13,"Justin Anderson\anderju01","SF",23,"TOT",75,10,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,"SF",23,"TOT",75,10,"44667","44683","44809",".424","0.8","44714",".299","44743","44623",".522",".490","44652","44743",".791","0.9","44622","44623","0.9","0.5","0.3","0.9","44682","44568"
"215","Justin Hamilton","452","TOR",1e+06,170,"Justin Hamilton\hamilju01","C",26,"BRK",64,7,18.4,2.7,5.9,0.459,0.9,2.8,0.306,1.9,3.1,0.598,0.532,0.6,0.8,0.75,1.1,3,4.1,0.9,0.5,0.7,0.7,1.4,6.9,"C",26,"BRK",64,7,"44669","44744","44809",".459","0.9","44775",".306","44805","44564",".598",".532","0.6","0.8",".750","44562","3.0","44565","0.9","0.5","0.7","0.7","44652","44810"
"216","Justin Holiday","210","CHI",4615385,200,"Justin Holiday\holidju01","SG",27,"NYK",82,4,20,2.8,6.6,0.433,1.2,3.3,0.355,1.7,3.2,0.513,0.523,0.8,1,0.825,0.3,2.4,2.7,1.2,0.8,0.4,0.8,1.3,7.7,"SG",27,"NYK",82,4,"20.0","44775","44718",".433","44593","44623",".355","44743","44595",".513",".523","0.8","1.0",".825","0.3","44653","44744","44593","0.8","0.4","0.8","44621","44749"
"217","Justise Winslow","269","MIA",2705040,472,"Justise Winslow\winslju01","SF",20,"MIA",18,15,34.7,4.4,12.5,0.356,0.4,1.9,0.2,4.1,10.6,0.384,0.371,1.6,2.6,0.617,1.3,3.9,5.2,3.7,1.4,0.3,1.8,2.9,10.9,"SF",20,"MIA",18,15,"34.7","44655","44693",".356","0.4","44805",".200","44565","44722",".384",".371","44713","44714",".617","44621","44807","44597","44745","44652","0.3","44774","44806","44814"
"218","K.J. McDaniels","513","TOR",1e+05,291,"K.J. McDaniels\mcdankj01","SF",23,"TOT",49,0,10.3,1.6,3.4,0.456,0.4,1.3,0.303,1.2,2.1,0.553,0.515,0.7,0.8,0.842,0.3,1.4,1.7,0.3,0.4,0.4,0.6,1,4.2,"SF",23,"TOT",49,0,"44630","44713","44654",".456","0.4","44621",".303","44593","44563",".553",".515","0.7","0.8",".842","0.3","44652","44743","0.3","0.4","0.4","0.6","1.0","44596"
"219","Karl-Anthony Towns","172","MIN",6216840,434,"Karl-Anthony Towns\townska01","C",21,"MIN",82,82,37,9.8,18,0.542,1.2,3.4,0.367,8.5,14.7,0.582,0.576,4.3,5.2,0.832,3.6,8.7,12.3,2.7,0.7,1.3,2.6,2.9,25.1,"C",21,"MIN",82,82,"37.0","44782","18.0",".542","44593","44654",".367","44689","44756",".582",".576","44624","44597",".832","44715","44750","44632","44744","0.7","44621","44714","44806","44586"
"220","Kawhi Leonard","47","SAS",18868625,261,"Kawhi Leonard\leonaka01","SF",25,"SAS",74,74,33.4,8.6,17.7,0.485,2,5.2,0.38,6.6,12.5,0.529,0.541,6.3,7.2,0.88,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,"SF",25,"SAS",74,74,"33.4","44720","44759",".485","2.0","44597",".380","44718","44693",".529",".541","44626","44599",".880","44562","44746","44778","44684","44774","0.7","44563","44713","44706"
"221","Kay Felder","439","CHI",1312611,132,"Kay Felder\feldeka01","PG",21,"CLE",42,0,9.2,1.5,3.8,0.392,0.2,0.5,0.318,1.3,3.2,0.404,0.415,0.8,1.2,0.714,0.1,0.9,1,1.4,0.4,0.2,0.7,0.9,4,"PG",21,"CLE",42,0,"44601","44682","44776",".392","0.2","0.5",".318","44621","44595",".404",".415","0.8","44593",".714","0.1","0.9","1.0","44652","0.4","0.2","0.7","0.9","4.0"
"222","Kelly Olynyk","115","MIA",10607169,340,"Kelly Olynyk\olynyke01","C",25,"BOS",75,6,20.5,3.5,6.8,0.512,0.9,2.6,0.354,2.6,4.2,0.608,0.579,1.2,1.6,0.732,1,3.8,4.8,2,0.6,0.4,1.3,2.8,9,"C",25,"BOS",75,6,"44701","44684","44779",".512","0.9","44714",".354","44714","44596",".608",".579","44593","44713",".732","1.0","44776","44777","2.0","0.6","0.4","44621","44775","9.0"
